,PCA,NRM,dim_PCA,dim_NRM
60.0%,14.656250000000002,14.656250000000002,1.0,1.0
60.5%,14.656250000000002,14.656250000000002,1.0,1.0
61.0%,14.656250000000002,14.656250000000002,1.0,1.0
61.5%,14.656250000000002,14.656250000000002,1.0,1.0
62.0%,14.656250000000002,14.656250000000002,1.0,1.0
62.5%,14.656250000000002,14.656250000000002,1.0,1.0
63.0%,14.656250000000002,14.656250000000002,1.0,1.0
63.5%,14.656250000000002,14.656250000000002,1.0,1.0
64.0%,14.656250000000002,14.656250000000002,1.0,1.0
64.5%,14.656250000000002,14.656250000000002,1.0,1.0
65.0%,14.656250000000002,14.656250000000002,1.0,1.0
65.5%,14.656250000000002,14.656250000000002,1.0,1.0
66.0%,14.656250000000002,14.656250000000002,1.0,1.0
66.5%,14.656250000000002,14.656250000000002,1.0,1.0
67.0%,14.656250000000002,14.656250000000002,1.0,1.0
67.5%,14.656250000000002,14.656250000000002,1.0,1.0
68.0%,35.61458333333333,14.656250000000002,2.0,1.0
68.5%,35.61458333333333,14.656250000000002,2.0,1.0
69.0%,35.61458333333333,35.61458333333333,2.0,2.0
69.5%,35.61458333333333,35.61458333333333,2.0,2.0
70.0%,35.61458333333333,35.61458333333333,2.0,2.0
70.5%,35.61458333333333,35.61458333333333,2.0,2.0
71.0%,35.61458333333333,35.61458333333333,2.0,2.0
71.5%,35.61458333333333,35.61458333333333,2.0,2.0
72.0%,35.61458333333333,35.61458333333333,2.0,2.0
72.5%,35.61458333333333,35.61458333333333,2.0,2.0
73.0%,35.61458333333333,35.61458333333333,2.0,2.0
73.5%,35.61458333333333,35.61458333333333,2.0,2.0
74.0%,35.61458333333333,35.61458333333333,2.0,2.0
74.5%,35.61458333333333,35.61458333333333,2.0,2.0
75.0%,35.61458333333333,35.61458333333333,2.0,2.0
75.5%,35.61458333333333,35.61458333333333,2.0,2.0
76.0%,35.61458333333333,35.61458333333333,2.0,2.0
76.5%,35.61458333333333,35.61458333333333,2.0,2.0
77.0%,35.61458333333333,35.61458333333333,2.0,2.0
77.5%,35.61458333333333,35.61458333333333,2.0,2.0
78.0%,35.61458333333333,35.61458333333333,2.0,2.0
78.5%,35.61458333333333,35.61458333333333,2.0,2.0
79.0%,35.61458333333333,35.61458333333333,2.0,2.0
79.5%,35.61458333333333,35.61458333333333,2.0,2.0
80.0%,48.07291666666667,35.61458333333333,3.0,2.0
80.5%,48.07291666666667,35.61458333333333,3.0,2.0
81.0%,48.07291666666667,48.07291666666667,3.0,3.0
81.5%,48.07291666666667,48.07291666666667,3.0,3.0
82.0%,48.07291666666667,48.07291666666667,3.0,3.0
82.5%,48.07291666666667,48.07291666666667,3.0,3.0
83.0%,48.07291666666667,48.07291666666667,3.0,3.0
83.5%,49.82291666666667,48.07291666666667,4.0,3.0
84.0%,49.82291666666667,48.07291666666667,4.0,3.0
84.5%,49.82291666666667,49.82291666666667,4.0,4.0
85.0%,49.82291666666667,49.82291666666667,4.0,4.0
85.5%,49.82291666666667,49.82291666666667,4.0,4.0
86.0%,49.82291666666667,49.82291666666667,4.0,4.0
86.5%,55.70833333333333,49.82291666666667,5.0,4.0
87.0%,55.70833333333333,49.82291666666667,5.0,4.0
87.5%,55.70833333333333,55.70833333333333,5.0,5.0
88.0%,55.70833333333333,55.70833333333333,5.0,5.0
88.5%,58.875,55.70833333333333,6.0,5.0
89.0%,58.875,58.875,6.0,6.0
89.5%,62.36458333333333,58.875,7.0,6.0
90.0%,62.36458333333333,58.875,7.0,6.0
90.5%,64.89583333333333,62.36458333333333,8.0,7.0
91.0%,64.30208333333334,62.36458333333333,9.0,7.0
91.5%,70.38541666666667,64.89583333333333,10.0,8.0
92.0%,73.23958333333334,64.30208333333334,12.0,9.0
92.5%,73.89583333333334,73.16666666666666,14.0,11.0
93.0%,78.05208333333333,73.69791666666669,18.0,13.0
93.5%,79.82291666666666,75.34375,22.0,15.0
94.0%,79.26041666666666,78.11458333333333,27.0,19.0
94.5%,79.21875,79.58333333333333,34.0,24.0
95.0%,79.78124999999999,78.88541666666666,41.0,31.0
95.5%,79.41666666666667,80.06250000000001,48.0,38.0
96.0%,81.08333333333334,79.41666666666666,57.0,47.0
96.5%,81.375,81.08333333333334,67.0,57.0
97.0%,81.13541666666667,81.21875,79.0,69.0
97.5%,80.33333333333331,81.23958333333334,92.0,82.0
98.0%,79.16666666666666,79.79166666666667,108.0,98.0
98.5%,77.98958333333333,78.63541666666666,127.0,118.0
99.0%,77.51041666666666,76.97916666666669,153.0,145.0
99.5%,74.15625,74.40625,191.0,185.0
