,PCA,NRM
60.0%,16.406250000000004,16.406250000000004
60.5%,16.406250000000004,16.406250000000004
61.0%,16.406250000000004,16.406250000000004
61.5%,16.406250000000004,16.406250000000004
62.0%,16.406250000000004,16.406250000000004
62.5%,16.406250000000004,16.406250000000004
63.0%,16.406250000000004,16.406250000000004
63.5%,16.406250000000004,16.406250000000004
64.0%,16.406250000000004,16.406250000000004
64.5%,16.406250000000004,16.406250000000004
65.0%,16.406250000000004,16.406250000000004
65.5%,16.406250000000004,16.406250000000004
66.0%,16.406250000000004,16.406250000000004
66.5%,16.406250000000004,16.406250000000004
67.0%,16.406250000000004,16.406250000000004
67.5%,16.406250000000004,16.406250000000004
68.0%,40.97916666666667,40.97916666666667
68.5%,40.97916666666667,40.97916666666667
69.0%,40.97916666666667,40.97916666666667
69.5%,40.97916666666667,40.97916666666667
70.0%,40.97916666666667,40.97916666666667
70.5%,40.97916666666667,40.97916666666667
71.0%,40.97916666666667,40.97916666666667
71.5%,40.97916666666667,40.97916666666667
72.0%,40.97916666666667,40.97916666666667
72.5%,40.97916666666667,40.97916666666667
73.0%,40.97916666666667,40.97916666666667
73.5%,40.97916666666667,40.97916666666667
74.0%,40.97916666666667,40.97916666666667
74.5%,40.97916666666667,40.97916666666667
75.0%,40.97916666666667,40.97916666666667
75.5%,40.97916666666667,40.97916666666667
76.0%,40.97916666666667,40.97916666666667
76.5%,40.97916666666667,40.97916666666667
77.0%,40.97916666666667,40.97916666666667
77.5%,40.97916666666667,40.97916666666667
78.0%,40.97916666666667,40.97916666666667
78.5%,40.97916666666667,40.97916666666667
79.0%,40.97916666666667,40.97916666666667
79.5%,40.97916666666667,40.97916666666667
80.0%,52.9375,52.9375
80.5%,52.9375,52.9375
81.0%,52.9375,52.9375
81.5%,52.9375,52.9375
82.0%,52.9375,52.9375
82.5%,52.9375,52.9375
83.0%,52.9375,52.9375
83.5%,54.71874999999999,54.72916666666666
84.0%,54.71874999999999,54.72916666666666
84.5%,54.71874999999999,54.72916666666666
85.0%,54.71874999999999,54.72916666666666
85.5%,54.71874999999999,54.72916666666666
86.0%,54.71874999999999,54.72916666666666
86.5%,60.20833333333335,60.17708333333335
87.0%,60.20833333333335,60.17708333333335
87.5%,60.20833333333335,60.17708333333335
88.0%,60.20833333333335,60.17708333333335
88.5%,62.04166666666667,62.06250000000001
89.0%,62.04166666666667,62.06250000000001
89.5%,66.89583333333334,66.89583333333334
90.0%,66.89583333333334,66.89583333333334
90.5%,71.15624999999999,71.06249999999999
91.0%,71.65625,71.60416666666667
91.5%,75.42708333333331,75.34375
92.0%,78.69791666666666,78.64583333333333
92.5%,81.61458333333333,81.48958333333334
93.0%,84.40625,84.29166666666666
93.5%,84.85416666666669,84.86458333333334
94.0%,84.31250000000001,84.52083333333334
94.5%,84.0,84.09375
95.0%,84.71875,84.97916666666669
95.5%,84.25,84.37500000000001
96.0%,84.27083333333334,84.34375
96.5%,84.67708333333331,85.0208333333333
97.0%,85.375,85.5625
97.5%,85.96875,86.09375
98.0%,85.26041666666669,85.40624999999999
98.5%,85.4166666666667,85.61458333333336
99.0%,85.46875000000001,85.76041666666666
99.5%,85.19791666666666,85.41666666666666
